Sno,frequency,surprise,like,c1_familiarity,c2_familiarity
1062,28,1,3,2,3.019950125
1063,20,5,5,1,3.019950125
1064,6,4,4,3,3.019950125
1065,18,1,3,4,3.019950125
1066,21,5,5,5,3.019950125
1067,43,4,4,4,3.019950125
1068,27,2,5,4,3.019950125
1069,23,4,4,3,3.019950125
1070,10,1,3,1,3.019950125
1071,37,3,4,4,3.019950125
1072,45,5,4,4,3.019950125
1073,18,2,2,2,3.019950125
1074,26,2,3,4,3.019950125
1075,56,1,3,4,3.019950125
1076,31,1,2,1,3.019950125
1077,26,2,3,2,3.019950125
1078,22,4,4,3,3.019950125
1079,25,5,4,2,3.019950125
1080,25,2,3,4,3.019950125
1081,18,3,4,2,3.019950125
1082,23,1,3,2,3.019950125
1083,34,1,4,4,3.019950125
1084,15,1,3,4,3.019950125
1085,63,3,4,3,3.019950125
1086,38,3,4,4,3.019950125
1087,18,1,5,2,3.019950125
1088,38,3,4,2,3.019950125
1089,53,5,5,5,3.019950125
1090,17,3,2,2,3.019950125
1091,17,2,2,3,3.019950125
1092,33,2,5,5,3.019950125
1093,29,2,5,4,3.019950125
1094,18,2,3,5,4
1095,23,2,4,2,4
1096,29,1,3,4,2
1097,25,1,5,5,2
1098,26,3,4,3,4
1099,41,5,5,4,2
1100,11,4,3,4,4
1101,14,3,4,3,3
1102,19,2,3,4,4
1103,28,3,3,2,1
1104,38,4,5,1,4
1105,33,2,4,2,4
1106,29,1,3,4,4
1107,10,4,3,4,4
1108,25,2,4,4,4
1109,25,4,2,4,1
1110,28,3,3,2,2
1111,42,5,5,4,4
1112,28,2,3,4,4
1113,29,1,5,3,3
1114,28,2,3,2,2
1115,24,3,4,4,3
1116,28,2,4,4,4
1117,31,3,5,5,4
1118,34,5,4,4,4
1119,14,3,3,3,2
1120,13,2,1,2,4
1121,40,2,4,5,5
1122,57,2,3,2,2
1123,18,5,2,2,2
1124,22,1,4,4,4
1125,14,3,3,2,1
1126,42,4,5,2,3
1127,16,2,4,4,4
1128,28,5,5,1,2
1129,10,5,3,1,3
1130,8,1,1,5,5
1131,20,1,2,4,4
1132,11,1,3,3,2
1133,42,4,4,2,3
1134,18,2,4,2,2
1135,34,5,5,2,2
1136,21,5,5,2,4
1137,24,4,4,2,1
1138,17,5,2,5,2
1139,52,3,1,3,1
1140,10,3,3,4,4
1141,29,5,5,1,3
1142,31,4,5,1,4
1143,71,2,4,4,5
1144,13,3,3,4,4
1145,28,4,5,4,5
1146,11,2,2,2,2
1147,16,2,4,2,2
1148,22,3,3,1,4
1149,31,1,1,5,4
1150,43,4,5,5,2
1151,12,3,3,4,4
1152,30,3,3,4,4
1153,33,3,3,4,4
1154,46,1,4,4,5
1155,38,2,4,2,3
1156,24,1,3,4,4
1157,21,2,3,4,3
1158,12,1,1,2,3
1159,29,2,2,4,2
1160,41,1,3,5,4
1161,68,2,2,2,3
1162,16,5,5,4,4
1163,14,3,4,3,1
1164,32,4,5,2,2
1165,25,2,4,1,2
1166,29,2,2,3,1
1167,30,5,4,2,3
1168,27,2,4,4,1
1169,21,1,2,3,3
1170,16,4,4,3,3
1171,32,3,4,1,1
1172,40,2,4,5,5
1173,12,3,4,2,3
1174,44,2,3,3,4
1175,40,3,3,2,4
1176,14,2,2,4,3
1177,52,2,3,3,4
1178,47,4,4,2,2
1179,33,4,3,2,3
1180,38,1,3,5,5
1181,54,2,4,5,4
1182,32,4,4,4,4
1183,27,2,3,4,5
1184,20,4,4,4,2
1185,23,3,5,4,5
1186,16,3,3,3,4
1187,23,1,4,2,2
1188,43,2,4,4,4
1189,30,1,2,1,2
1190,40,3,2,3,3
1191,13,1,1,4,2
1192,21,4,3,3,4
1193,16,4,4,4,2
1194,15,5,5,2,2
1195,9,1,3,2,2
1196,33,1,4,4,3
1197,34,5,4,2,1
1198,16,4,3,2,3
1199,38,4,2,3,4
1200,39,2,3,4,4
1201,22,3,5,4,5
1202,17,1,5,4,5
1203,4,2,5,4,4
1204,22,4,4,2,4
1205,30,3,3,2,1
1206,25,1,4,3,3
1207,16,5,4,5,3
1208,34,2,3,2,2
1209,14,2,3,4,2
1210,40,4,3,1,1
1211,20,1,3,4,3
1212,53,3,3,1,1
1213,22,2,4,4,3
1214,28,1,3,3,5
1215,15,3,3,4,4
1216,25,2,3,1,2
1217,19,3,3,3,3
1218,34,2,2,2,2
1219,12,1,4,1,1
1220,40,5,3,1,1
1221,23,3,2,4,5
1222,23,3,4,4,3
1223,34,1,2,1,4
1224,31,1,4,4,5
1225,48,4,2,5,2
1226,29,1,3,3,4
1227,12,3,4,3,3
1228,24,5,3,4,4
1229,15,2,3,5,5
1230,23,3,4,1,1
1231,18,3,4,3,4
1232,25,4,3,4,1
1233,20,5,4,3,1
1234,23,4,4,2,3
1235,20,4,2,4,3
1236,24,2,2,4,2
1237,28,1,3,3,1
1238,15,2,2,4,3
1239,13,1,4,4,4
1240,34,1,1,3,2
1241,25,1,2,4,2
1242,32,1,4,1,1
1243,10,1,3,2,2
1244,43,4,4,5,3
1245,16,3,3,3,4
1246,5,2,3,4,4
1247,9,2,4,3,4
1248,23,3,3,3,3
1249,24,2,1,1,1
1250,32,4,4,4,2
1251,12,1,3,4,4
1252,33,2,4,3,3
1253,27,2,4,1,4
1254,38,4,4,4,4
1255,9,3,4,2,3
1256,20,2,2,2,3
1257,17,4,5,3,4
1258,32,4,5,5,3
1259,11,1,4,2,4
1260,23,1,4,4,2
1261,27,3,3,4,4
1262,9,4,5,4,3
1263,17,2,4,4,2
1264,66,1,3,3,5
1265,15,5,1,5,2
1266,39,1,5,2,2
1267,33,1,5,4,4
1268,25,3,5,2,4
1269,26,5,5,5,2
1270,11,1,3,2,2
1271,19,4,4,2,3
1272,18,4,3,1,1
1273,36,3,3,4,4
1274,34,2,2,2,1
1275,21,5,4,1,2
1276,22,2,3,3,3
1277,15,4,3,5,1
1278,33,3,5,5,5
1279,43,4,4,4,3
1280,30,5,2,3,5
1281,12,4,3,4,5
1282,28,2,3,1,2
1283,36,2,2,3,4
1284,12,4,4,1,1
1285,27,2,2,1,5
1286,28,5,3,4,5
1287,31,5,4,2,2
1288,22,3,4,4,5
1289,27,1,4,5,5
1290,26,1,4,4,4
1291,25,4,4,4,3
1292,47,1,3,2,5
1293,39,4,3,2,3
1294,26,2,3,3,4
1295,18,4,5,4,4
1296,27,1,4,4,4
1297,49,2,2,4,4
1298,35,2,5,5,5
1299,25,5,3,3,2
1300,34,3,1,3,3
1301,20,2,5,3,4
1302,24,1,3,3,3
1303,35,4,4,2,1
1304,21,4,3,1,2
1305,19,2,3,2,2
1306,17,4,5,2,2
1307,36,1,1,2,3
1308,17,1,5,1,1
1309,29,4,5,2,1
1310,29,1,4,4,5
1311,17,5,4,3,3
1312,34,2,4,5,1
1313,41,5,5,5,3
1314,10,2,2,3,4
1315,73,1,4,3,4
1316,16,4,4,5,4
1317,28,3,5,4,3
1318,32,4,3,5,5
1319,35,1,2,1,3
1320,24,2,4,4,5
1321,32,4,1,1,4
1322,16,5,3,4,4
1323,22,4,4,4,4
1324,14,5,5,5,4
1325,25,2,2,4,4
1326,28,3,3,3,3
1327,26,4,3,3,4
1328,21,2,3,3,4
1329,9,2,4,4,1
1330,35,3,4,4,1
1331,23,3,4,3,5
1332,29,3,3,1,1
1333,10,4,5,2,2
1334,17,3,4,5,5
1335,25,1,3,3,3
1336,26,2,5,4,5
1337,34,3,2,2,1
1338,24,2,2,3,5
1339,26,3,3,3,3
1340,30,4,4,4,3
1341,15,3,4,3,2
1342,36,3,2,3,3
1343,52,5,4,1,1
1344,17,3,5,5,4
1345,27,4,3,3,3
1346,55,2,2,1,2
1347,25,3,3,4,5
1348,13,3,2,4,4
1349,20,3,3,3,3
1350,5,3,3,2,2
1351,17,3,1,1,1
1352,18,1,3,5,1
1353,17,4,5,2,4
1354,26,4,4,5,2
1355,21,1,3,3,1
1356,39,5,3,4,2
1357,26,4,5,5,3
1358,25,3,4,3,5
1359,7,3,3,2,3
1360,12,4,4,2,3
1361,22,4,5,4,4
1362,38,4,4,4,3
1363,41,4,4,3,4
1364,29,4,3,4,3
1365,20,3,3,3,2
1366,30,2,5,4,1
1367,38,3,3,3,3
1368,25,2,2,3,3
1369,22,3,2,2,2
1370,11,2,3,3,3
1371,32,5,4,2,3
1372,26,3,3,2,2
1373,25,2,4,2,3
1374,12,3,4,3,4
1375,37,5,4,1,1
1376,46,5,5,5,2
1377,18,5,4,3,2
1378,16,1,4,5,4
1379,22,1,5,3,5
1380,46,2,3,2,3
1381,27,3,4,4,2
1382,1,1,3,5,5
1383,21,4,5,4,2
1384,44,3,2,3,4
1385,21,2,4,3,3
1386,21,3,3,1,4
1387,40,2,3,4,4
1388,9,3,4,3,4
1389,21,4,4,2,1
1390,16,5,5,4,4
1391,54,1,5,5,5
1392,50,3,3,4,3
1393,32,1,3,2,3
1394,38,1,5,4,4
1395,48,3,3,3,2
1396,47,2,3,2,3
1397,34,5,5,4,2
1398,21,2,4,3,5
1399,31,1,3,4,3
1400,26,2,5,2,2
1401,34,1,1,1,1
1402,16,4,5,5,5
1403,39,4,3,1,1
1404,28,4,4,4,3
1405,14,4,3,5,5
1406,46,4,5,4,5
1407,30,4,4,4,4
1408,49,5,4,5,2
1409,34,4,3,5,4
1410,27,2,4,4,4
1411,33,1,5,3,3
1412,22,2,4,1,2
1413,37,4,4,4,3
1414,37,1,1,3,3
1415,19,5,3,2,2
1416,36,3,3,2,2
1417,23,1,3,3,4
1418,20,2,2,2,2
1419,28,4,4,4,4
1420,33,5,5,5,4
1421,20,4,4,2,2
1422,25,5,5,3,1
1423,9,3,4,3,4
1424,34,1,3,3,3
1425,40,3,5,5,2
1426,27,3,4,4,4
1427,25,3,3,4,4
1428,30,4,5,5,4
1429,43,3,3,2,3
1430,29,4,3,3,4
1431,14,3,3,4,2
1432,18,4,4,3,4
1433,25,4,3,2,2
1434,28,1,2,4,3
1435,18,3,4,4,5
1436,33,2,3,3,3
1437,16,4,4,3,3
1438,16,2,3,3,3
1439,34,5,4,1,3
1440,28,5,5,1,1
1441,27,3,4,2,3
1442,35,4,4,3,2
1443,42,5,5,4,3
1444,30,1,4,3,2
1445,32,2,3,3,3
1446,8,2,3,3,2
1447,32,3,2,1,2
1448,29,4,3,2,4
1449,41,2,5,5,4
1450,32,4,4,4,3
1451,71,2,4,2,4
1452,16,4,4,3,3
1453,38,2,4,3,3
1454,26,4,4,5,2
1455,10,4,3,1,1
1456,18,2,4,5,5
1457,34,2,1,3,3
1458,46,4,3,4,4
1459,64,4,4,1,1
1460,46,4,4,3,3
1461,15,2,4,2,2
1462,40,3,1,2,2
1463,42,2,1,1,1
1464,37,3,5,5,2
1465,15,4,2,4,4
1466,38,4,2,2,2
1467,16,2,3,2,4
1468,15,4,3,4,3
1469,14,4,4,3,4
1470,11,3,4,3,3
1471,39,3,4,3,3
1472,32,4,4,2,2
1473,41,2,3,5,2
1474,19,4,4,5,2
1475,22,1,2,3,5
1476,31,3,3,3,3
1477,84,2,4,2,1
1478,26,2,3,4,2
1479,20,2,3,3,3
1480,29,4,2,1,1
1481,16,4,3,1,2
1482,17,1,3,2,5
1483,30,2,3,2,2
1484,39,4,4,1,1
1485,33,2,2,4,3
1486,39,2,3,3,3
1487,41,2,3,3,2
1488,5,2,2,1,1
1489,29,4,2,1,1
1490,26,3,3,3,4
1491,9,4,3,2,4
1492,52,4,3,4,3
1493,30,5,4,3,4
1494,19,3,4,4,3
1495,38,2,3,4,3.019950125
1496,32,3,4,4,3.019950125
1497,24,1,4,3,3.019950125
1498,58,3,4,4,3.019950125
1499,37,1,4,2,3.019950125
1500,23,4,2,4,3.019950125
