Sno,frequency,surprise,like,c1_familiarity,c2_familiarity
234,23,3,4,2,2
235,20,3,2,1,2
236,24,3,3,4,2
237,28,5,3,2,1
238,15,2,2,3,4
239,13,4,4,4,4
240,34,1,3,4,4
241,25,1,4,4,3
242,32,4,4,4,4
243,10,1,4,3,3
244,43,3,3,4,3
245,16,2,4,4,4
246,5,4,5,2,4
247,9,2,2,5,5
248,23,2,2,4,5
249,24,4,4,2,3
250,32,4,5,5,1
251,12,2,2,4,3
252,33,1,1,5,3
253,27,5,4,1,5
254,38,3,3,3,4
255,9,2,3,3,2
256,20,4,4,4,3
257,17,5,4,2,2
258,32,4,5,4,2
259,11,1,2,5,4
260,23,2,2,1,2
261,27,4,3,3,3
262,9,1,2,3,4
263,17,4,1,5,2
264,66,2,3,1,3
265,15,2,5,5,3
266,39,2,3,4,3
267,33,2,4,4,4
268,25,1,2,1,4
269,26,3,3,4,4
270,11,1,4,5,5
271,19,2,3,1,1
272,18,4,4,1,5
273,36,2,4,4,4
274,34,2,4,3,3
275,21,3,5,1,1
276,22,5,5,2,2
277,15,4,3,2,3
278,33,5,5,4,3
279,43,2,4,4,2
280,30,5,1,2,1
281,12,2,4,3,3
282,28,2,5,2,2
283,36,4,4,5,5
284,12,4,3,4,4
285,27,4,4,4,4
286,28,2,2,3,3
287,31,5,4,2,2
288,22,4,5,2,2
289,27,2,4,4,4
290,26,3,4,4,3
291,25,2,3,2,1
292,47,2,2,1,4
293,39,4,3,1,5
294,26,2,4,2,4
295,18,4,3,4,4
296,27,4,3,1,3
297,49,1,1,1,5
298,35,5,2,5,4
299,25,2,1,4,3
300,34,4,3,4,3
301,20,2,4,5,4
302,24,4,5,5,3
303,35,3,2,2,3
304,21,2,1,4,4
305,19,4,4,3,4
306,17,4,5,4,2
307,36,2,2,3,3
308,17,2,4,5,5
309,29,4,5,1,1
310,29,1,4,4,4
311,17,2,3,5,2
312,34,2,4,4,1
313,41,2,2,1,1
314,10,4,4,3,1
315,73,1,5,3,5
316,16,1,5,3,3
317,28,3,3,2,1
318,32,5,5,4,3
319,35,4,4,3,3
320,24,2,5,4,2
321,32,1,3,5,5
322,16,3,3,5,4
323,22,4,5,2,2
324,14,4,4,4,3
325,25,4,3,1,5
326,28,2,3,3,3
327,26,3,4,2,2
328,21,2,5,5,5
329,9,4,5,5,2
330,35,2,4,5,4
331,23,2,3,1,2
332,29,4,3,3,3
333,10,4,3,2,2
334,17,4,4,4,4
335,25,1,3,5,4
336,26,2,1,1,3
337,34,2,5,5,5
338,24,1,3,4,4
339,26,4,3,3,3
340,30,1,4,5,1
341,15,2,3,4,3
342,36,1,4,3,2
343,52,2,4,3,3
344,17,2,5,5,5
345,27,5,5,4,4
346,55,4,3,2,2
347,25,5,4,2,4
348,13,3,4,4,3
349,20,3,3,1,2
350,5,5,3,3,5
351,17,4,4,1,2
352,18,1,3,5,5
353,17,4,5,3,4
354,26,4,5,5,5
355,21,3,4,5,5
356,39,5,5,4,5
357,26,4,4,1,1
358,25,5,5,1,1
359,7,4,3,3,2
360,12,3,3,4,5
361,22,5,5,5,3
362,38,3,3,2,5
363,41,4,3,3,2
364,29,3,3,3,1
365,20,4,4,2,1
366,30,3,3,4,2
367,38,1,1,1,1
368,25,5,5,2,2
369,22,2,5,4,4
370,11,1,3,2,2
371,32,4,4,5,4
372,26,5,4,1,5
373,25,4,4,4,4
374,12,3,3,5,3
375,37,5,5,2,2
376,46,2,4,4,3
377,18,4,3,1,1
378,16,3,3,4,4
379,22,1,2,2,4
380,46,3,2,2,4
381,27,3,3,4,1
382,1,1,4,2,4
383,21,4,3,4,3
384,44,3,3,4,3
385,21,2,3,2,3
386,21,3,2,3,2
387,40,1,4,5,3
388,9,2,4,3,4
389,21,2,3,3,3
390,16,5,5,3,2
391,54,3,3,3,4
392,50,4,3,3,3
393,32,1,3,4,4
394,38,3,4,4,4
395,48,3,4,4,4
396,47,2,3,2,1
397,34,4,4,1,1
398,21,1,2,5,5
399,31,2,3,4,3
400,26,1,2,5,4
401,34,2,2,2,2
402,16,4,1,4,4
403,39,1,1,2,4
404,28,4,5,4,4
405,14,4,3,5,4
406,46,5,5,2,1
407,30,4,4,3,4
408,49,2,2,2,2
409,34,4,4,2,2
410,27,2,3,3,4
411,33,1,3,3,3
412,22,1,2,5,4
413,37,4,4,3,2
414,37,1,1,1,1
415,19,2,2,2,2
416,36,2,3,5,2
417,23,2,4,3,3
418,20,3,1,4,2
419,28,1,4,1,1
420,33,5,5,5,4
421,20,4,4,5,4
422,25,4,2,3,3
423,9,3,3,3,1
424,34,2,3,3,4
425,40,4,4,2,2
426,27,1,1,4,5
427,25,1,3,3,2
428,30,2,2,2,2
429,43,2,1,2,2
430,29,2,4,4,5
431,14,4,5,3,2
432,18,1,3,4,3
433,25,4,4,5,5
434,28,2,5,4,4
435,18,1,3,2,3
